,code,name,ind_code,ind
354,4450,삼화왕관,32509,기타 금속 가공제품 제조업
380,4490,세방전지,32802,일차전지 및 축전지 제조업
143,4540,깨끗한나라,31701,"펄프, 종이 및 판지 제조업"
747,4560,현대비앤지스틸,32401,1차 철강 제조업
352,4690,삼천리,43502,연료용 가스 제조 및 배관공급업
554,4700,조광피혁,31501,"가죽, 가방 및 유사제품 제조업"
705,4710,한솔테크닉스,32602,전자부품 제조업
478,4720,우리들제약,32102,의약품 제조업
423,4770,써니전자,32601,반도체 제조업
777,4800,효성,116409,기타 금융업
207,4830,덕성,32202,플라스틱제품 제조업
17,4840,DRB동일,116409,기타 금융업
632,4870,티웨이홀딩스,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
236,4890,동일산업,32401,1차 철강 제조업
553,4910,조광페인트,32004,기타 화학제품 제조업
425,4920,씨아이테크,33309,그외 기타 제품 제조업
709,4960,한신공영,64101,건물 건설업
401,4970,신라교역,10301,어로 어업
375,4980,성신양회,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
263,4990,롯데지주,116409,기타 금융업
787,5010,휴스틸,32401,1차 철강 제조업
310,5030,부산주공,33003,자동차 신품 부품 제조업
599,5070,코스모신소재,32004,기타 화학제품 제조업
320,5090,삼광글라스,32301,유리 및 유리제품 제조업
726,5110,한창,74605,기계장비 및 관련 물품 도매업
314,5180,빙그레,31005,낙농제품 및 식용빙과류 제조업
219,5190,동성화학,32001,기초 화학물질 제조업
157,5250,녹십자홀딩스,137105,회사 본부 및 경영 컨설팅 서비스업
264,5300,롯데칠성음료,31102,비알코올음료 및 얼음 제조업
126,5320,국동,74604,생활용품 도매업
279,5360,모나미,74604,생활용품 도매업
755,5380,현대자동차,33001,자동차용 엔진 및 자동차 제조업
403,5390,신성통상,74607,기타 전문 도매업
600,5420,코스모화학,32004,기타 화학제품 제조업
661,5430,한국공항,85209,기타 운송관련 서비스업
740,5440,현대그린푸드,74701,종합 소매업
641,5490,포스코,32401,1차 철강 제조업
351,5500,삼진제약,32102,의약품 제조업
96,5610,SPC삼립,31007,기타 식품 제조업
344,5680,삼영전자공업,32602,전자부품 제조업
633,5690,파미셀,32101,기초 의약물질 및 생물학적 제제 제조업
150,5720,넥센,32201,고무제품 제조업
613,5740,크라운해태홀딩스,116409,기타 금융업
169,5750,대림비앤코,32302,"내화, 비내화 요업제품 제조업"
410,5800,신영와코루,31401,봉제의복 제조업
648,5810,풍산홀딩스,116409,기타 금융업
488,5820,원림,31302,직물직조 및 직물제품 제조업
14,5830,DB손해보험,116501,보험업
443,5850,에스엘,33003,자동차 신품 부품 제조업
785,5870,휴니드테크놀러지스,32604,통신 및 방송 장비 제조업
201,5880,대한해운,85001,해상 운송업
330,5930,삼성전자,32604,통신 및 방송 장비 제조업
68,5940,NH투자증권,116601,금융 지원 서비스업
513,5950,이수화학,32001,기초 화학물질 제조업
215,5960,동부건설,64102,토목 건설업
232,6040,동원산업,10301,어로 어업
770,6060,화승인더스트리,32202,플라스틱제품 제조업
319,6090,사조오양,31002,수산물 가공 및 저장 처리업
337,6110,삼아알미늄,32402,1차 비철금속 제조업
88,6120,SK디스커버리,116409,기타 금융업
670,6200,한국전자홀딩스,116409,기타 금융업
551,6220,제주은행,116401,은행 및 저축기관
63,6260,LS,116409,기타 금융업
156,6280,녹십자,32102,의약품 제조업
187,6340,대원전선,32803,절연선 및 케이블 제조업
24,6360,GS건설,64101,건물 건설업
163,6370,대구백화점,74701,종합 소매업
582,6380,카프로,32001,기초 화학물질 제조업
717,6390,한일현대시멘트,32303,"시멘트, 석회, 플라스터 및 그 제품 제조업"
322,6400,삼성SDI,32802,일차전지 및 축전지 제조업
522,6490,인스코비,106102,전기 통신업
172,6570,대림통상,32509,기타 금속 가공제품 제조업
195,6650,대한유화,32001,기초 화학물질 제조업
323,6660,삼성공조,33003,자동차 신품 부품 제조업
468,6740,영풍제지,31702,"골판지, 종이 상자 및 종이용기 제조업"
288,6800,미래에셋대우,116601,금융 지원 서비스업
1,6840,AK홀딩스,116409,기타 금융업
409,6880,신송홀딩스,74602,산업용 농·축산물 및 동·식물 도매업
619,6890,태경케미컬,32001,기초 화학물질 제조업
481,6980,우성사료,31006,"곡물가공품, 전분 및 전분제품 제조업"
26,7070,GS리테일,74701,종합 소매업
532,7110,일신석재,74606,"건축자재, 철물 및 난방장치 도매업"
287,7120,미래아이앤지,106201,"컴퓨터 프로그래밍, 시스템 통합 및 관리업"
317,7160,사조산업,10301,어로 어업
301,7210,벽산,32309,기타 비금속 광물제품 제조업
682,7280,한국특수형강,32401,1차 철강 제조업
472,7310,오뚜기,31007,기타 식품 제조업
253,7340,디티알오토모티브,32802,일차전지 및 축전지 제조업
453,7460,에이프로젠 KIC,32509,기타 금속 가공제품 제조업
362,7540,샘표,116409,기타 금융업
533,7570,일양약품,32102,의약품 제조업
214,7590,동방아그로,32003,"비료, 농약 및 살균, 살충제 제조업"
370,7610,선도전기,32801,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업"
645,7630,폴루스바이오팜,74601,상품 중개업
512,7660,이수페타시스,32602,전자부품 제조업
125,7690,국도화학,32001,기초 화학물질 제조업
21,7700,F&F,31401,봉제의복 제조업
594,7810,코리아써키트,32602,전자부품 제조업
364,7860,서연,116409,기타 금융업
625,7980,태평양물산,31401,봉제의복 제조업
316,8040,사조동아원,31006,"곡물가공품, 전분 및 전분제품 제조업"
164,8060,대덕,32602,전자부품 제조업
167,8110,대동전자,32604,통신 및 방송 장비 제조업
507,8250,이건산업,31602,나무제품 제조업
71,8260,NI스틸,32401,1차 철강 제조업
145,8350,남선알미늄,32402,1차 비철금속 제조업
285,8420,문배철강,32401,1차 철강 제조업
369,8490,서흥,32004,기타 화학제품 제조업
534,8500,일정실업,31303,편조원단 제조업
274,8560,메리츠증권,116601,금융 지원 서비스업
490,8600,윌비스,74604,생활용품 도매업
427,8700,아남전자,32605,영상 및 음향기기 제조업
506,8730,율촌화학,32202,플라스틱제품 제조업
766,8770,호텔신라,74708,기타 상품 전문 소매업
132,8870,금비,32301,유리 및 유리제품 제조업
